"","X","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"408",12150,48,0,0,0,0,0,4,"Front-Wheel Drive",1150,0,"Regular","Regular Gasoline",16,0,"Toyota","Prius","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",66.6,0,"Midsize Cars",2005,5500,"",NA,NA,"Hybrid","","",""
"424",12168,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Buick","LeSabre","Y","false",0,107,0,0,0,0,0,"Automatic 4-spd",22,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"425",12170,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,19,"Buick","Park Avenue","Y","false",0,111,0,0,0,0,0,"Automatic 4-spd",22,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"426",12171,13,0,0,0,0,0,8,"Front-Wheel Drive",3450,0,"Regular","Regular Gasoline",0,0,"Cadillac","Armored Deville","N","false",0,0,0,0,0,0,0,"Automatic 4-spd",15.7183,0,"Large Cars",2005,-6000,"G",NA,NA,"","","",""
"427",12172,15,0,0,0,0,0,8,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,19,"Cadillac","DeVille","Y","false",0,108,0,0,0,0,0,"Automatic 4-spd",18.8889,0,"Large Cars",2005,-3250,"",NA,NA,"","","",""
"428",12173,16,0,0,0,0,0,8,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,19,"Cadillac","DeVille","Y","false",0,108,0,0,0,0,0,"Automatic 4-spd",19.6,0,"Large Cars",2005,-2500,"",NA,NA,"","","",""
"429",12174,13,0,0,0,0,0,8,"Front-Wheel Drive",3450,0,"Regular","Regular Gasoline",0,0,"Cadillac","Funeral Coach / Hearse","N","false",0,0,0,0,0,0,0,"Automatic 4-spd",15.7183,0,"Large Cars",2005,-6000,"G",NA,NA,"","","",""
"430",12175,13,0,0,0,0,0,8,"Front-Wheel Drive",3250,0,"Regular","Regular Gasoline",0,0,"Cadillac","Limousine","N","false",0,0,0,0,0,0,0,"Automatic 4-spd",16.6,0,"Large Cars",2005,-5000,"G",NA,NA,"","","",""
"431",12176,19,0,0,0,0,0,6,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,18,"Chevrolet","Impala","Y","false",0,105,0,0,0,0,0,"Automatic 4-spd",23.6,0,"Large Cars",2005,-500,"",NA,NA,"","","",""
"432",12179,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Chevrolet","Impala","Y","false",0,105,0,0,0,0,0,"Automatic 4-spd",22.0259,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"433",12180,20,0,0,0,0,0,6,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",23,0,"Chevrolet","Malibu Maxx","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",24.9,0,"Large Cars",2005,0,"",NA,NA,"","","",""
"441",12188,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,21,"Ford","Five Hundred FWD","Y","false",0,108,0,0,0,0,0,"Automatic (variable gear ratios)",22,0,"Large Cars",2005,-1750,"",NA,NA,"","","",""
"442",12190,19,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,21,"Ford","Five Hundred FWD","Y","false",0,108,0,0,0,0,0,"Automatic 6-spd",23.4,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"443",12191,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,17,"Ford","Taurus","Y","false",0,105,0,0,0,0,0,"Automatic 4-spd",22.1,0,"Large Cars",2005,-1750,"",NA,NA,"","","",""
"444",12192,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,17,"Ford","Taurus","Y","false",0,105,0,0,0,0,0,"Automatic 4-spd",22.2,0,"Large Cars",2005,-1750,"",NA,NA,"","","",""
"448",12198,15,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,15,"Kia","Amanti","Y","false",0,105,0,0,0,0,0,"Automatic 5-spd",18.8,0,"Large Cars",2005,-3250,"",NA,NA,"","","",""
